@RELATION 'cellcycle0.names'

@ATTRIBUTE cln3-1 numeric
@ATTRIBUTE cln3-2 numeric
@ATTRIBUTE clb2-2 numeric
@ATTRIBUTE clb2-1 numeric
@ATTRIBUTE alpha0 numeric
@ATTRIBUTE alpha7 numeric
@ATTRIBUTE alpha14 numeric
@ATTRIBUTE alpha21 numeric
@ATTRIBUTE alpha28 numeric
@ATTRIBUTE alpha35 numeric
@ATTRIBUTE alpha42 numeric
@ATTRIBUTE alpha49 numeric
@ATTRIBUTE alpha56 numeric
@ATTRIBUTE alpha63 numeric
@ATTRIBUTE alpha70 numeric
@ATTRIBUTE alpha77 numeric
@ATTRIBUTE alpha84 numeric
@ATTRIBUTE alpha91 numeric
@ATTRIBUTE alpha98 numeric
@ATTRIBUTE alpha105 numeric
@ATTRIBUTE alpha112 numeric
@ATTRIBUTE alpha119 numeric
@ATTRIBUTE cdc15_10 numeric
@ATTRIBUTE cdc15_30 numeric
@ATTRIBUTE cdc15_50 numeric
@ATTRIBUTE cdc15_70 numeric
@ATTRIBUTE cdc15_80 numeric
@ATTRIBUTE cdc15_90 numeric
@ATTRIBUTE cdc15_100 numeric
@ATTRIBUTE cdc15_110 numeric
@ATTRIBUTE cdc15_120 numeric
@ATTRIBUTE cdc15_130 numeric
@ATTRIBUTE cdc15_140 numeric
@ATTRIBUTE cdc15_150 numeric
@ATTRIBUTE cdc15_160 numeric
@ATTRIBUTE cdc15_170 numeric
@ATTRIBUTE cdc15_180 numeric
@ATTRIBUTE cdc15_190 numeric
@ATTRIBUTE cdc15_200 numeric
@ATTRIBUTE cdc15_210 numeric
@ATTRIBUTE cdc15_220 numeric
@ATTRIBUTE cdc15_230 numeric
@ATTRIBUTE cdc15_240 numeric
@ATTRIBUTE cdc15_250 numeric
@ATTRIBUTE cdc15_270 numeric
@ATTRIBUTE cdc15_290 numeric
@ATTRIBUTE cdc28_0 numeric
@ATTRIBUTE cdc28_10 numeric
@ATTRIBUTE cdc28_20 numeric
@ATTRIBUTE cdc28_30 numeric
@ATTRIBUTE cdc28_40 numeric
@ATTRIBUTE cdc28_50 numeric
@ATTRIBUTE cdc28_60 numeric
@ATTRIBUTE cdc28_70 numeric
@ATTRIBUTE cdc28_80 numeric
@ATTRIBUTE cdc28_90 numeric
@ATTRIBUTE cdc28_100 numeric
@ATTRIBUTE cdc28_110 numeric
@ATTRIBUTE cdc28_120 numeric
@ATTRIBUTE cdc28_130 numeric
@ATTRIBUTE cdc28_140 numeric
@ATTRIBUTE cdc28_150 numeric
@ATTRIBUTE cdc28_160 numeric
@ATTRIBUTE elu0 numeric
@ATTRIBUTE elu30 numeric
@ATTRIBUTE elu60 numeric
@ATTRIBUTE elu90 numeric
@ATTRIBUTE elu120 numeric
@ATTRIBUTE elu150 numeric
@ATTRIBUTE elu180 numeric
@ATTRIBUTE elu210 numeric
@ATTRIBUTE elu240 numeric
@ATTRIBUTE elu270 numeric
@ATTRIBUTE elu300 numeric
@ATTRIBUTE elu330 numeric
@ATTRIBUTE elu360 numeric
@ATTRIBUTE elu390 numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
-0.03,0.19,-0.1,0.23,-0.3,-0.6,-0.43,-0.32,-0.18,0.03,-0.3,0.19,0.41,0.33,0.68,-0.13,-0.08,-0.08,0.1,0.47,0.01,0.22,0.64,0.62,0.49,0.32,-0.36,0.04,-0.66,0.16,-0.45,0.09,-0.58,-0.04,-0.66,0.17,0.06,0.41,-0.28,0.11,-0.21,0.65,-0.74,0.22,-0.01,0.03,-0.89,0.21,0.44,0.09,-0.33,0.04,0.31,-0.36,-0.12,0.03,-0.06,-0.07,-0.08,?,0.15,0.42,0.23,-0.53,0.05,-0.41,0.04,0.07,0.49,0.01,0.32,-0.03,0.18,-0.25,-0.12,0.04,0.14,3/3/1/0@40/3/0/0@5/4/0/0 %  ytydr172w
0.28,-0.69,0.14,-0.36,-0.2,?,-0.02,0,-0.02,-0.06,-0.32,0.08,0.21,-0.18,0.33,-0.1,0.08,-0.11,0.06,0.26,-0.15,0.14,-0.36,-0.1,-0.06,-0.33,0.29,-0.42,-0.12,-0.22,-0.07,-0.48,0.06,0.02,0.05,0.02,0.23,-0.35,0.09,-0.17,0.58,0.91,0.74,-0.09,-0.27,0.06,0.27,0.68,0.63,0.5,-0.47,0.21,0.09,-0.87,-0.22,-0.03,-0.45,-0.39,0.03,0.15,-0.11,?,?,0.16,0.07,0.37,0.36,0,0.05,0.02,-0.13,0,-0.15,0.02,-0.05,-0.77,0.07,1/1/4/0@14/4/3/5@4/5/1/4@40/10/0/0 %  ytydr173c
-0.12,0,-0.43,0.01,0.1,-0.01,0.1,-0.05,0.02,-0.2,0.39,0.02,0.16,?,-0.1,0.05,0.29,-0.28,-0.18,-0.18,-0.08,-0.05,-0.22,-0.21,-0.27,-0.18,-0.48,0.17,-0.24,0.44,-1.02,0.63,-0.74,0.5,-0.15,0.31,-0.64,0.42,-1.02,0.5,-0.53,0.34,-0.24,1.05,0.73,0.87,0.11,-0.4,-0.58,-0.23,-0.25,-0.03,-0.03,-0.11,0.15,0.21,0.3,0.27,-0.04,-0.07,?,0.16,0.54,0.08,-0.29,-0.35,-0.29,-0.13,-0.22,-0.09,-0.19,0.3,0.38,-0.06,0.49,0.33,0.03,5/1/0/0 %  ytydr175c
?,-0.14,-0.74,?,-0.01,-0.11,-0.06,-0.07,0.14,-0.28,0.18,-0.16,0.18,0.18,0.28,0.07,0.11,-0.36,-0.04,-0.11,0.1,-0.06,-0.1,0.14,0.29,0.19,0.52,0.19,-0.72,0.01,-0.86,0.06,-0.1,-0.12,-0.4,0.29,-0.21,0.54,-0.83,0.06,-0.63,0.75,-0.28,0.52,0.28,0.4,-0.19,-0.34,-0.57,0.04,0.52,0.22,-0.04,0.07,0.06,-0.17,-0.08,0.1,0.08,?,0.14,0.11,0.04,0.26,-0.49,-0.19,0.12,-0.13,0.09,0.15,0.05,0.3,0.19,-0.06,0.04,-0.34,0,1/5/4/0@4/5/1/4@40/10/0/0 %  ytydr176w
?,-0.42,-0.14,0.08,0.21,?,0.17,-0.21,0,-0.29,0.43,-0.09,0.35,0.11,0.15,-0.14,0.18,-0.51,-0.02,-0.14,-0.16,-0.04,0.05,0.3,0.27,-0.02,-0.24,0.12,-0.19,0.13,1.08,0.22,-0.91,0.01,-0.38,-0.06,-0.91,0.22,-1.14,0.35,-0.88,0.3,-0.58,0.7,0.57,1.01,-0.05,-0.25,-0.26,-0.04,0.11,-0.17,-0.06,-0.12,-0.16,0.36,0.2,?,-0.37,0.09,0.16,0.21,0.35,-0.2,0.17,-0.14,-0.12,-0.12,-0.38,-0.1,-0.18,0.03,0.25,-0.02,0.44,0.33,0.05,14/4/3/5@40/3/0/0@6/13/1/0@6/7/0/0@8/13/0/0 %  ytydr177w
0.2,-0.29,-0.15,0.29,0.01,-0.5,0.09,0.01,0.35,-0.24,0.28,-0.3,0.14,0.42,0.14,0.01,0.06,-0.24,0.03,-0.11,-0.06,-0.06,-0.03,0.58,0.04,-0.26,-0.58,-0.13,-0.2,-0.01,-0.16,0.2,0.21,0.27,0.13,-0.15,0.21,0.05,0.05,0.05,-0.04,0.17,0.41,-0.18,-0.26,-0.4,-0.15,0.64,0.24,0.04,-0.51,0.05,-0.35,-0.24,0.34,0.25,0.5,0.19,-0.23,-0.19,?,-0.37,-0.2,-0.63,0.19,-0.27,-0.13,-0.3,-0.02,-0.15,0.27,0.31,0.31,-0.21,0.26,0.22,0.17,3/3/1/0@40/10/0/0 %  ytydr180w
0.34,-0.97,?,0.03,0.06,-0.17,-0.06,?,0.19,0.08,0.33,0.14,-0.1,0.11,-0.06,-0.06,0.04,-0.25,-0.27,-0.08,0.09,0.01,0.05,0.32,0.55,-0.07,-0.21,0.16,0.02,0.27,-0.27,0.03,-0.31,0.05,0.1,0.03,-0.57,0,-0.29,-0.09,-0.07,0.31,-0.04,-0.31,0.02,0.3,0.15,0.19,-0.41,0.1,-0.18,0.33,-0.34,0.03,0.25,-0.69,0.02,-0.1,-0.05,0.32,?,0.22,0.16,0.3,-0.18,-0.11,-0.18,0.17,-0.27,-0.03,-0.18,0.12,0.12,0.08,-0.01,0.27,-0.09,30/10/0/0 %  ytydr181c
0.18,0.61,-0.49,0.41,0.03,-0.08,0.05,-0.02,0.29,-0.02,0.23,-0.27,0.03,0.28,0.05,-0.06,-0.06,-0.31,-0.02,0.01,-0.02,-0.09,-0.08,-0.02,0.24,0.42,-0.41,0.36,-0.52,0.06,-0.54,-0.04,-0.69,0.17,-0.33,0.37,0.39,0.42,-0.08,0.24,-0.61,0.04,0.28,0.17,0.16,0.03,-0.39,-0.25,-0.23,0.21,-0.17,0.35,-0.06,-0.11,0.11,0.02,-0.18,-0.15,0.1,?,0.16,0.52,0.08,-0.01,-0.35,-0.22,-0.54,-0.5,-0.14,-0.21,0.4,0.26,0.36,0.07,0.39,0.27,0.22,13/1/1/1@14/1/0/0@14/4/3/1@14/4/3/5@3/1/5/0@3/3/1/0@40/3/0/0 %  ytydr182w
0.19,0.65,-0.17,-0.36,-0.28,-0.39,-0.05,0.15,0.11,-0.05,-0.28,-0.17,0.07,-0.13,0.31,0.18,0.15,0.08,0.16,0.33,-0.3,0.08,0.27,0.25,0.39,0.22,0.13,-0.13,-0.41,-0.15,-0.54,0.06,-0.01,0.22,-0.09,0.34,-0.31,0.06,-0.72,-0.09,-0.24,0.45,-0.38,0.46,0.01,0.23,0,-0.11,-0.16,0.23,0.18,-0.07,-0.18,-0.15,-0.1,-0.18,0.16,0.12,-0.01,?,0.03,0.23,0.03,-0.01,-0.16,-0.32,-0.11,-0.49,-0.08,-0.03,0.06,0.19,0.42,-0.06,0.38,0.1,0.09,40/3/0/0@40/8/0/0@8/7/0/0 %  ytydr189w
-0.64,-0.04,0.43,0.93,-0.07,-0.28,-0.22,-0.02,-0.34,-0.13,-0.41,-0.13,0.36,0.49,0.56,0.05,0.01,-0.2,-0.14,0.14,-0.02,0.35,0.52,0.58,0.09,-0.25,-0.69,-0.35,-0.27,0.25,0.04,0.34,-0.55,0.13,-0.53,-0.1,0.05,0.15,-0.35,0.12,-0.02,0.59,-0.53,0.42,0.05,0.3,-0.37,-0.28,0.06,0.12,-0.12,0.01,-0.07,0.1,0.14,0.3,0.08,0.01,-0.2,-0.11,?,-0.08,0.37,-0.46,-0.09,-0.12,-0.06,0.02,0.18,-0.03,0.33,0.1,0.13,-0.08,-0.13,0.02,0.2,3/1/9/5@4/5/1/1@40/10/0/0 %  ytydr190c
-0.34,-1.32,1.03,0.55,-0.01,?,0.24,-0.07,-0.45,-0.43,-0.56,-0.14,0.63,0.19,0.56,0.05,0.17,-0.14,-0.19,0.16,-0.14,0.13,0.42,0.3,-0.92,-1.05,-0.95,-0.52,0.28,0.69,0.5,0.97,0.39,-0.14,-0.28,-0.75,-0.58,-0.58,-0.62,-0.12,0.36,0.98,0.44,0.63,0.24,0.34,0.19,0.19,-0.42,-0.26,-1.01,-0.71,-0.88,0.83,1.41,0.53,0.73,0.16,-0.28,-0.85,-0.44,-0.28,1.07,0.12,-0.03,0.25,0.12,0.06,-0.07,-0.07,-0.1,-0.26,0.12,-0.03,-0.28,-0.12,0.29,14/4/3/3@4/5/1/4 %  ytydr191w
1.4,-0.15,-0.18,?,-0.16,0.05,-0.17,0.18,-0.01,-0.11,-0.32,-0.23,0.33,0.28,0.54,-0.19,0.02,-0.19,-0.14,0.22,-0.16,0.05,0.22,0.37,0.12,-0.43,-0.05,-0.45,-0.04,0.02,0.23,0.03,-0.05,0.16,-0.15,-0.21,0.55,-0.21,-0.1,-0.1,0.48,0.37,0.32,-0.41,-0.39,-0.28,0.35,0.25,-0.05,0.03,0.02,-0.06,-0.26,0.12,0.12,-0.01,0.04,0.03,-0.29,?,-0.23,-0.1,0.04,-0.54,-0.06,-0.25,-0.01,-0.14,-0.21,-0.12,0.3,0.16,0.16,-0.25,0.12,0.62,0.21,4/7/0/0@40/10/0/0@8/1/0/0 %  ytydr192c
?,-0.67,-0.36,?,0.21,0.47,0.31,0.05,-0.03,-0.27,0.1,-0.4,-0.07,0.35,0.02,0.12,0.1,-0.4,-0.2,-0.18,-0.09,-0.09,?,-0.15,-0.33,-0.22,-0.66,-0.24,-0.5,-0.03,0,0,-0.05,0.13,-0.37,-0.22,-0.31,0,-0.08,0.09,-0.15,0.13,0.75,0.6,0.67,0.93,1.2,0.77,-0.36,-0.38,-0.65,-0.36,-0.58,0.08,-0.01,-0.26,0.07,-0.07,-0.1,0.15,?,0.41,0.08,0.83,-0.06,0.11,-0.31,-0.46,-0.76,-0.24,0.04,0.08,-0.07,-0.19,0.24,0.38,0.4,1/7/1/0 %  ytydr204w
0.5,0.04,0.07,0.19,0.04,0.44,0.33,0.38,0.04,-0.38,0.09,-0.23,0.01,-0.36,0.86,-0.5,0.04,-0.62,0.79,-0.31,-0.31,-0.31,-0.21,-0.23,0.49,0.14,-0.04,0.04,-0.34,0.25,-0.27,-0.02,-0.74,0.19,-0.08,0.25,-0.08,0.25,0.25,-0.21,0.41,0.23,-0.04,-0.01,0.06,-0.29,-0.87,0.14,-0.39,0.23,-0.13,0.21,-0.05,0.24,0.03,-0.06,-0.02,-0.03,0.05,?,0.09,0.34,0.22,0.55,-0.26,0.76,0.39,0.01,-0.19,-0.21,-0.21,0.22,0.15,-0.13,-0.45,-0.64,0.03,1/1/4/0@1/2/4/0@1/6/10/0@3/3/1/0@3/3/2/0@4/5/1/4@40/10/0/0 %  ytydr207c
0.28,0.19,-0.34,0.21,-0.36,0.11,0.09,-0.15,0.14,-0.41,0.16,0.37,0.08,0.18,0.14,0.02,0.01,-0.51,0.02,0.13,0.08,-0.11,0.15,-0.3,-0.11,0.22,0.07,0.42,-0.52,0.23,-0.18,-0.02,-0.48,-0.23,-0.18,0.14,-0.02,0.19,0.04,0.14,0.21,0.4,0.33,-0.08,-0.25,-0.21,-0.18,0.02,-0.14,-0.05,0.19,0.38,0.39,0.12,0.16,-0.39,-0.21,-0.44,-0.13,?,0.09,0.27,-0.08,0.25,-0.2,-0.11,-0.04,0.12,0.04,0.26,-0.01,0.2,0.23,-0.2,0.31,-0.67,-0.2,1/6/1/0@10/1/99/0@14/4/3/1@30/4/0/0@40/2/0/0 %  ytydr208w
-0.29,0.3,0.08,-0.27,-0.03,-0.24,-0.24,-0.06,-0.14,-0.19,-0.19,-0.12,0.38,-0.12,0.41,0.02,0.06,-0.07,0.03,0.38,-0.19,0.31,0.55,0.51,0.35,0.15,0.01,-0.08,-0.18,0.08,-0.45,0.13,-0.01,-0.06,-0.33,0.13,-0.88,0.12,-0.7,-0.06,-0.24,0.64,-0.53,0.55,0.08,0.23,-0.65,0.38,0.49,0.17,-0.54,0.17,0.22,-0.49,-0.12,-0.04,-0.11,-0.17,0.14,?,-0.04,0.33,0.25,-0.96,-0.23,-0.07,0.33,0.17,0.2,0.23,0.04,-0.04,0.31,-0.04,0.1,-0.08,0.04,40/3/0/0@5/4/0/0 %  ytydr211w
0.61,0.19,0.24,-0.32,-0.2,-0.01,-0.08,-0.22,-0.06,0.08,-0.11,0.05,-0.16,0.29,0.41,?,-0.25,-0.25,-0.11,0.4,-0.11,0.34,-0.16,-0.38,-0.28,0.12,-0.02,0,-0.14,0.06,0.07,0,-0.2,-0.32,-0.16,-0.09,0.15,0.18,0.42,-0.12,0.6,0.41,0.31,-0.04,-0.17,-0.21,?,-0.51,-0.56,0.3,0.6,0.51,-0.26,0.3,0.68,-0.05,0.01,0.07,-0.05,0.04,-0.47,-0.42,-0.19,-0.14,0.01,-0.23,0.19,-0.18,-0.65,0.27,0.44,0.29,-0.08,0.33,0.1,-0.33,-0.02,1/5/4/0@4/5/1/4@40/10/0/0 %  ytydr216w
0.5,-0.29,-0.45,0.24,-0.49,0.04,0.01,0.35,0.01,-0.09,-0.17,-0.15,0.52,-0.04,0.44,-0.22,-0.14,-0.09,0.32,-0.04,-0.18,-0.09,0.39,0.63,0.31,0.15,-0.41,0.11,-0.7,0.08,-0.41,0.53,0.01,0.4,-0.17,0.3,-0.5,0.12,-0.57,0.04,-0.35,-0.35,0.08,0.31,0.03,-0.02,0.08,0.36,0.36,0.18,0.25,0.36,-0.24,0.08,0.26,-0.24,-0.01,-0.3,-0.42,-0.03,?,-0.48,-0.22,-0.45,-0.4,0.02,0.39,0.19,0.04,0.18,-0.3,0.13,0.38,0.08,0.11,-0.33,-0.03,3/1/5/0@3/3/1/3@4/5/1/4@40/10/0/0 %  ytydr217c
0.93,1.49,-0.32,-0.22,-1.51,-1.57,-1.35,0.04,1.3,1.15,0.94,-0.08,-0.13,-0.72,-0.75,-0.26,0.98,0.94,1.09,0.31,0.07,-0.43,-1.11,-0.53,1.84,1.77,0.39,-0.09,-1.31,-1.59,-1.93,-0.88,-0.61,1.13,1.05,1.84,1.55,1.41,0.16,0.22,-1.17,-1.24,-1.5,-0.31,0.16,0.77,-1.04,-0.38,0.49,0.3,0.35,-0.21,-0.24,-0.79,-0.85,0.23,0.11,?,-0.14,0.68,0.53,0.74,0.22,-1.15,-1.4,-1.05,-0.8,-0.02,0.56,0.61,1.1,0.74,0.64,0.68,0.46,0.1,-0.48,4/5/1/4@40/10/3/0 %  ytydr224c
0.12,-0.49,0.29,0.04,0.11,-0.05,0.13,-0.19,0.38,-0.14,0.25,-0.09,0.14,0.01,0.04,-0.02,0.05,-0.28,-0.05,-0.14,-0.12,-0.02,-0.85,-0.85,-0.38,-0.14,0.05,0.18,0.05,0.22,-0.17,0.3,-0.47,0.07,-0.36,0.07,-0.41,-0.22,-0.53,0.23,-0.11,0.54,0.21,0.81,0.81,0.94,0.56,-0.24,-0.97,-0.05,0.22,0.21,-0.52,-0.07,0.32,0.31,0.42,0.12,-0.18,-0.06,-0.08,?,?,0.68,0.13,-0.08,0.15,-0.13,-0.34,-0.1,-0.22,-0.03,-0.17,-0.21,0.32,0.07,-0.07,2/11/99/0@30/16/0/0@40/16/0/0 %  ytydr231c
-0.6,-0.84,-0.38,0.06,0.14,-0.42,-0.01,-0.07,0.14,0.46,0.28,-0.3,0.24,-0.21,0.1,-0.02,-0.05,-0.24,0.33,-0.19,-0.01,-0.17,0.41,0.03,0.68,0.35,0.34,0.28,0.2,0.08,0.55,-0.05,-0.22,-0.11,0,-0.33,-0.55,0.03,0.43,-0.04,0.68,-0.96,-0.18,-0.44,-0.62,-0.57,-0.55,0.22,0.01,0.44,0.03,0.41,-0.11,0.38,0.46,0.27,-0.34,-0.34,-0.44,?,-0.15,-0.25,-0.04,-0.24,0.06,0.09,0.22,0.24,0.06,0.1,0.22,0.07,0.11,-0.34,-0.05,-0.33,-0.21,1/7/1/0@40/16/0/0 %  ytydr232w
-1.09,-0.74,-0.34,-0.22,-0.3,-0.23,-0.44,-0.35,-0.63,-0.05,-0.03,-0.11,0.24,0.39,0.46,-0.11,0.09,0.13,0.16,0.51,0.02,0.26,-0.07,0.04,0.1,0.65,0.26,0.46,0.24,0.43,-0.29,0.21,-0.24,-0.1,-0.33,-0.26,0.35,-0.1,0.04,-0.05,0.11,-0.08,-0.2,-0.41,-0.51,-0.26,-0.83,0.16,0.43,0.33,-0.32,0.34,0.19,-0.06,0.27,0.08,-0.13,-0.29,-0.05,?,-0.16,0.08,-0.03,-1.86,-0.38,0.43,0.28,0.55,0.47,0.43,0.55,0.19,0.43,-0.01,-0.23,-0.64,-0.22,1/1/1/7@40/16/0/0 %  ytydr234w
-0.04,?,?,-0.36,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.05,-0.43,-0.41,-0.44,-0.59,-0.22,-0.31,0.01,-0.24,0.36,-0.16,0.35,-0.12,0.11,-0.03,0.18,-0.02,0.15,-0.12,-0.18,0.54,0.74,0.36,0.53,-0.2,0.26,0.07,-0.58,-0.53,-0.15,-0.24,-0.55,-0.16,-0.05,0.44,0.16,0.09,0.43,?,0.59,0.42,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40/16/0/0@5/1/0/0 %  ytydr237w
-0.03,?,?,-0.34,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.32,0.44,-0.07,-0.18,0.01,-0.19,-0.01,0.15,0.37,-0.23,-0.14,0.53,0.03,-0.23,0.9,-0.14,-0.11,-0.23,0.23,-0.26,0.25,-0.32,-0.26,-0.19,0.25,0.19,-0.64,0.08,0.22,0.4,-0.12,0.29,0.48,-0.77,-0.29,0.12,0.14,-0.35,0.01,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4/5/5/1@40/10/0/0 %  ytydr240c
0.07,?,?,-0.01,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.44,-0.18,-0.15,-0.23,-0.07,-0.08,0.16,0.06,0.04,-0.63,1.26,1,0.15,-0.23,-0.11,-0.2,-0.03,-0.36,0.15,-0.15,0.39,-0.31,0.11,-0.13,0.46,-0.49,-0.4,0,-0.22,-0.02,-0.45,-0.06,0.03,-0.4,0.01,0.07,0.23,?,0.12,0.43,0.68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1/2/1/0 %  ytydr242w
-0.18,?,?,0.08,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.24,0.21,0.1,0.3,-0.05,-0.34,0.38,-0.43,-0.39,0.11,0.21,-0.07,0.17,-0.59,-0.07,-0.07,-0.05,-0.19,0.25,0.51,0.2,-0.1,0.23,-0.11,0.08,-0.28,-0.5,0.18,-0.29,0.49,-0.37,0.01,0.61,-0.39,-0.01,0.01,0.12,?,0.13,-0.09,0.31,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40/19/0/0@40/3/0/0@6/4/0/0@8/10/0/0 %  ytydr244w
0.42,?,?,0.06,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,-0.46,0.14,-0.08,0.44,0.11,-0.37,-0.04,-0.17,-0.15,-0.07,0,0.37,0.07,0.19,?,-0.46,-0.09,-0.21,?,-0.02,0.73,-0.55,0.51,0.11,0.57,0.15,-0.46,-0.16,-0.01,0.32,-0.38,0.06,0.05,-0.24,0.27,0.02,-0.51,0.27,?,-0.01,0.05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,40/8/0/0@8/7/0/0 %  ytydr246w
0.44,0.54,-0.62,-0.47,0.58,1.07,0.08,-0.08,-0.11,-0.33,-0.69,-0.54,0.25,?,0.3,0.14,0.12,-0.41,-0.01,0.12,-0.45,-0.05,-0.29,-0.25,0.09,-0.22,-0.29,-0.48,-0.18,-0.27,-0.18,0.13,0.23,0.19,0.26,0.37,0.18,-0.23,-0.7,-0.32,0.17,0.53,0.41,0.5,0.22,0.14,0,-0.41,0.06,0.07,0.22,-0.23,-0.31,-0.3,-0.26,0.3,0.26,0.34,0.1,?,-0.07,0.2,0.03,0.38,-0.28,-0.34,-0.21,-0.35,-0.17,0.19,0.02,0.12,-0.09,0.04,0.31,0.39,-0.01,11/1/0/0@14/1/0/0@14/4/3/1 %  ytydr251w
-0.45,-0.4,-0.14,0.14,-0.31,0.09,-0.13,-0.1,-0.12,0.1,-0.13,-0.08,0.17,0.28,0.19,-0.29,0.06,-0.17,0.04,0.18,0.01,0.22,-0.57,-0.27,0.23,0.19,0.38,-0.14,0.29,-0.16,0.21,-0.64,0.22,0.02,0.12,-0.21,1.12,-0.16,0.38,-0.14,0.13,-0.01,-0.03,-0.42,-0.42,-0.12,0.63,-0.09,-0.51,0.12,0.66,0.32,-0.16,0.29,-0.08,-1.42,-0.45,-0.01,0.17,0.24,?,0.34,-0.04,0.05,0.08,0.16,-0.37,-0.39,-0.08,0.03,0.12,0.04,0.19,0.09,0.09,0,-0.01,4/5/1/4 %  ytydr252w
