@RELATION 'church0.names'

@ATTRIBUTE chip_affymetrix_chip {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs numeric
@ATTRIBUTE a_fy4_a numeric
@ATTRIBUTE alpha_fy5_alpha numeric
@ATTRIBUTE gal_gal numeric
@ATTRIBUTE heat_heat numeric
@ATTRIBUTE rel_alpha_fy5_alpha numeric
@ATTRIBUTE rel_gal_gal numeric
@ATTRIBUTE rel_heat_heat numeric
@ATTRIBUTE avg_abund numeric
@ATTRIBUTE median_deviation_of_log_fc_gal numeric
@ATTRIBUTE sig_gal numeric
@ATTRIBUTE sig_and_fc_gal numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha numeric
@ATTRIBUTE sig_fy5_alpha numeric
@ATTRIBUTE sig_and_fc_fy5_alpha numeric
@ATTRIBUTE median_deviation_of_log_fc_heat numeric
@ATTRIBUTE sig_heat numeric
@ATTRIBUTE sig_and_fc_heat numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha numeric
@ATTRIBUTE thrshld_1=below_detection_gal numeric
@ATTRIBUTE thrshld_1=below_detection_heat numeric
@ATTRIBUTE thrshld_gal numeric
@ATTRIBUTE thrshld_fy5_alpha numeric
@ATTRIBUTE thrshld_heat numeric
@ATTRIBUTE below_threshold_in_all_conditions numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
B,20,0.1,0.1,0.1,0.07,0,0,0,0.07,0.05,0,0,0.02,0,0,0.18,0,0,1,1,1,?,5,5,5,0,4/1/1/0@4/3/1/0@40/10/0/0 %  ytygr246c
B,20,7.04,5.36,5.52,18.5,0,0.05,0.3,9.10,0.32,0.2,0,0.15,0,0,0.2,1.5,1,?,?,?,?,?,?,?,0,1/5/1/0@2/1/0/0@40/3/0/0 %  ytygr254w
B,20,0.23,0.21,0.31,0.27,0,0.1,0.06,0.26,0.16,0.6,0,0.04,0,0,0.21,0.29,0,?,?,?,?,?,5,?,0,1/7/1/0 %  ytygr255c
B,20,0.1,0.1,0.13,0.53,0,0.04,0.75,0.21,0.09,0.4,0,0.05,0,0,0.17,4.41,1,1,1,?,?,?,5,2,0,1/5/1/0@2/7/0/0 %  ytygr256w
B,20,0.1,0.1,0.1,0.09,0,0,0,0.09,0.04,0,0,0.06,0,0,0.12,0,0,?,1,?,?,5,5,4,0,8/4/0/0 %  ytygr257c
B,20,0.14,0.11,0.15,0.19,0,0.01,0.07,0.15,0.18,0.1,0,0.1,0,0,0.17,0.41,0,?,?,?,?,?,5,?,0,1/7/1/0 %  ytygr267c
B,20,0.1,0.1,0.1,0.1,0,0,0.06,0.08,0.02,0,0,0.03,0,0,0.22,0.27,0,1,1,1,?,5,5,2,0,40/2/0/0@67/28/0/0@67/50/25/0 %  ytygr281w
B,20,0.1,0.08,0.17,0.1,0,0.3,0,0.09,0.19,1.6,1,0.07,0,0,0.18,0,0,1,?,?,1,2,5,5,0,1/7/1/0 %  ytygr286c
B,20,0.14,0.15,0.11,0.12,0,0,0.02,0.13,0.04,0,0,0.12,0,0,0.18,0.11,0,?,?,?,?,5,5,2,0,1/6/1/0@14/10/0/0@6/4/0/0 %  ytyhl003c
B,20,0.07,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,?,1,1,1,5,3,5,0,40/2/0/0@8/99/0/0 %  ytyhl019c
B,20,0.1,0.1,0.1,0.06,0,0,0,0.07,0.02,0,0,0.02,0,0,0.16,0,0,1,1,1,?,5,5,4,0,14/4/3/5@3/3/2/0 %  ytyhl024w
B,21,0.09,0.1,0.1,0.1,0,-0.05,0,0.08,0.04,1.3,0,0.02,0,0,0.18,0,0,?,?,1,1,?,5,5,0,11/1/0/0@30/1/0/0 %  ytyhl028w
B,20,0.1,0.1,0.29,0.16,0,0.09,0.11,0.15,0.19,0.5,0,0.02,0,0,0.27,0.41,0,1,1,?,?,2,5,2,0,1/5/1/0 %  ytyhl032c
B,20,0.1,0.1,0.1,0.06,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,?,5,5,4,0,67/50/25/0 %  ytyhl035c
B,20,0.1,0.1,0.14,0.19,0,0,0,0.13,0.04,0,0,0.05,0,0,0.18,0,0,1,?,?,?,5,5,5,0,11/1/0/0 %  ytyhl046c
B,20,0.1,0.1,0.1,0.06,0,0,-0.1,0.07,0.03,0,0,0.08,0,0,0.07,1.43,0,1,1,1,?,5,5,?,0,1/7/1/0 %  ytyhr003c
B,41,0.1,0.1,0.07,0.07,0,0,-0.12,0.07,0.03,0,0,0.02,0,0,0.08,1.5,0,1,1,?,?,5,5,?,0,30/25/0/0@40/8/0/0@6/4/0/0@8/13/0/0@8/7/0/0 %  ytyhr012w
B,38,0.1,0.1,0.1,0.06,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,1,?,5,5,5,0,40/4/0/0 %  ytyhr016c
B,21,0.35,0.39,0.68,0.6,0,0.14,0.11,0.51,0.16,0.9,0,0.13,0,0,0.28,0.39,0,?,?,?,?,?,5,?,0,5/10/0/0 %  ytyhr019c
B,21,0.24,0.19,0.22,0.38,0,0,0.08,0.26,0.11,0,0,0.08,0,0,0.13,0.62,0,?,?,?,?,5,5,?,0,5/10/0/0 %  ytyhr020w
B,20,0.08,0.11,0.14,0.16,0,0,0.01,0.12,0.09,0,0,0.09,0,0,0.18,0.06,0,?,?,?,?,5,5,?,0,40/16/0/0@6/7/0/0 %  ytyhr024c
B,21,0.09,0.19,0.14,0.17,0,0,0.17,0.15,0.17,0,0,0.07,0,0,0.21,0.81,0,?,?,?,?,5,5,?,0,40/25/0/0@6/13/4/0 %  ytyhr028c
B,21,0.2,0.18,0.17,0.14,0,0,-0.13,0.17,0.02,0,0,0.03,0,0,0.09,1.44,0,?,?,?,?,5,5,?,0,2/16/0/0 %  ytyhr039c
B,20,0.33,0.5,0.34,0.7,0,0,0.1,0.47,0.15,0,0,0.11,0,0,0.19,0.53,0,?,?,?,?,5,5,?,0,1/6/1/0@11/7/0/0@40/7/0/0 %  ytyhr042w
B,20,0.18,0.19,0.18,0.14,0,0,0,0.17,0.08,0,0,0.07,0,0,0.2,0,0,?,?,?,?,5,5,5,0,40/16/0/0@6/4/0/0@8/4/0/0 %  ytyhr050w
B,20,0.1,0.1,0.09,0.1,0,0,0,0.07,0.09,0,0,0.02,0,0,0.18,0,0,1,1,?,1,5,5,5,0,4/1/4/0@40/10/0/0 %  ytyhr065c
B,20,0.23,0.32,0.19,0.29,0,0,-0.03,0.26,0.06,0,0,0.16,0,0,0.17,0.18,0,?,?,?,?,5,5,?,0,1/1/1/0 %  ytyhr068w
B,20,0.1,0.09,0.14,0.12,0,0,0,0.11,0.02,0,0,0.04,0,0,0.11,0,0,1,?,?,?,2,5,4,0,1/6/1/0@40/7/0/0 %  ytyhr072w
B,20,0.19,0.25,0.22,0.11,0,0,0,0.19,0.06,0,0,0.08,0,0,0.18,0,0,?,?,?,?,5,5,5,0,3/1/5/0@3/3/2/0@4/5/5/1 %  ytyhr086w
B,20,0.2,0.14,0.25,0.11,0,0.03,-0.2,0.18,0.08,0.4,0,0.09,0,0,0.05,4.6,1,?,?,?,?,?,?,1,0,6/4/0/0@8/99/0/0 %  ytyhr110w
B,20,0.1,0.1,0.08,0.07,0,0,0,0.07,0.04,0,0,0.02,0,0,0.18,0,0,1,1,?,?,5,5,4,0,14/4/3/5@40/1/0/0 %  ytyhr139c
B,20,0.1,0.1,0.14,0.1,0,0.15,0,0.09,0.17,0.9,0,0.03,0,0,0.18,0,0,1,1,?,1,?,5,5,0,10/1/5/5@13/11/3/7@14/4/3/3 %  ytyhr146w
B,20,0.11,0.14,0.08,0.12,0,0,0,0.11,0.09,0,0,0.1,0,0,0.18,0,0,?,?,?,?,5,5,5,0,40/16/0/0@5/1/0/0 %  ytyhr147c
B,20,0.12,0.1,0.1,0.1,0,-0,0,0.08,0.08,0.5,0,0.07,0,0,0.18,0,0,?,1,1,1,1,5,5,0,1/2/1/0 %  ytyhr176w
B,21,0.1,0.1,0.07,0.06,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,1,1,?,?,5,5,5,0,30/25/0/0@40/10/0/0@8/99/0/0 %  ytyhr195w
B,20,0.08,0.09,0.2,0.13,0,0.1,0.02,0.13,0.11,0.9,0,0.06,0,0,0.19,0.11,0,?,?,?,?,2,5,?,0,4/5/1/4 %  ytyil010w
B,21,0.1,0.1,0.1,0.07,0,0,-0.14,0.07,0.03,0,0,0.02,0,0,0.03,4.67,0,1,1,1,?,5,5,?,0,1/5/1/0@6/7/0/0 %  ytyil014w
B,20,0.12,0.11,0.14,0.17,0,0,0.01,0.14,0.04,0,0,0.05,0,0,0.13,0.08,0,?,?,?,?,?,5,?,0,4/5/1/1@40/10/0/0 %  ytyil021w
B,20,0.1,0.09,0.08,0.12,0,0,0,0.09,0.07,0,0,0.1,0,0,0.18,0,0,1,?,?,?,5,5,5,0,40/16/0/0@6/4/0/0@67/99/0/0@8/4/0/0 %  ytyil022w
B,20,0.14,0.12,0.14,0.09,0,0.01,0,0.12,0.15,0.1,0,0.14,0,0,0.17,0,0,?,?,?,?,?,5,4,0,4/99/0/0 %  ytyil030c
B,20,0.09,0.1,0.12,0.07,0,0.02,0,0.09,0.04,0.5,0,0.07,0,0,0.17,0,0,?,1,?,?,?,5,4,0,4/5/1/4@40/10/0/0 %  ytyil038c
B,20,2.69,2.41,2.93,1.48,0,0.04,0,2.38,0.08,0.5,0,0.08,0,0,0.21,0,0,?,?,?,?,?,5,5,0,2/13/0/0@40/16/0/0 %  ytyil043c
B,21,0.09,0.08,0.07,0.19,0,0,0,0.11,0.03,0,0,0.09,0,0,0.17,0,0,?,?,?,?,5,5,?,0,1/1/4/0@3/3/1/0@4/5/1/4@40/10/0/0@6/13/1/0 %  ytyil046w
B,20,0.1,0.08,0.15,0.12,0,0.14,0.03,0.11,0.16,0.9,0,0.12,0,0,0.17,0.18,0,1,?,?,?,2,5,2,0,30/16/0/0 %  ytyil065c
B,21,0.1,0.14,0.1,0.06,0,0,0,0.09,0.02,0,0,0.03,0,0,0.18,0,0,1,?,?,?,5,5,5,0,1/3/7/0@3/1/3/0@3/1/5/1@40/3/0/0 %  ytyil066c
B,21,0.08,0.1,0.1,0.08,0,0.03,-0.15,0.08,0.07,0.4,0,0.05,0,0,0.06,2.5,0,?,1,?,?,2,5,?,0,14/4/3/1 %  ytyil118w
B,21,0.09,0.1,0.08,0.06,0,0,0,0.08,0.09,0,0,0.12,0,0,0.18,0,0,?,?,?,?,5,5,5,0,14/4/3/1@40/2/0/0 %  ytyil140w
B,21,0.11,0.19,0.23,0.21,0,0.11,0.01,0.19,0.12,0.9,0,0.06,0,0,0.19,0.05,0,?,?,?,?,2,5,?,0,40/3/0/0@6/1/0/0 %  ytyil142w
B,20,0.1,0.1,0.1,0.06,0,0,0,0.07,0.06,0,0,0.02,0,0,0.18,0,0,1,1,1,?,5,5,5,0,6/13/1/0 %  ytyil156w
B,20,0.08,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,?,1,1,1,5,5,5,0,1/6/7/0@2/25/0/0@40/19/0/0 %  ytyil160c
B,23,0.08,0.1,0.1,0.1,0,0,0,0.07,0.02,0,0,0.02,0,0,0.18,0,0,?,1,1,1,5,5,5,0,1/5/7/0@40/2/0/0@67/7/0/0@8/19/0/0 %  ytyil170w
B,21,0.09,0.1,0.1,0.05,0,0,0,0.07,0.06,0,0,0.05,0,0,0.18,0,0,?,1,1,?,5,5,5,0,4/5/1/4@40/10/0/0 %  ytyir018w
B,21,0.13,0.14,0.13,0.09,0,0,0,0.12,0.07,0,0,0.03,0,0,0.18,0,0,?,?,?,?,5,5,5,0,4/5/5/1@40/16/0/0 %  ytyir021w
B,20,0.1,0.12,0.1,0.08,0,0,0,0.09,0.06,0,0,0.09,0,0,0.18,0,0,1,?,1,?,5,5,5,0,13/11/3/1@14/4/3/5@3/3/2/0 %  ytyir026c
B,20,0.1,0.1,0.1,0.07,0,0,0,0.07,0.03,0,0,0.02,0,0,0.17,0,0,1,1,1,?,5,5,4,0,40/2/0/0@67/19/0/0@8/19/0/0 %  ytyir028w
B,20,0.1,0.1,0.1,0.09,0,0,0,0.08,0.05,0,0,0.02,0,0,0.18,0,0,1,1,1,?,5,5,4,0,3/3/1/3 %  ytyjl030w
C,21,0.4,0.12,0.3,0.2,0,0,0,0.24,0.13,0,0,0.47,0,0,0.17,0,0,1,?,1,1,5,4,5,0,4/5/5/0 %  ytyjl124c
C,20,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.54,0,0,0.17,0,0,1,?,1,1,5,4,5,0,4/5/5/1@40/16/0/0@8/4/0/0 %  ytyjl133w
C,21,0.4,0.21,0.3,0.2,0,0,0,0.27,0.13,0,0,0.29,0,0,0.17,0,0,1,?,1,1,5,4,5,0,40/7/0/0@6/7/0/0 %  ytyjr010c-a
C,21,0.52,0.34,0.42,0.36,0,0,0,0.41,0.13,0,0,0.22,0,0,0.17,0,0,?,?,?,?,5,4,5,0,1/1/1/0@40/16/0/0 %  ytyjr016c
C,21,0.4,0.28,0.3,0.53,0,0,0.03,0.37,0.13,0,0,0.3,0,0,0.13,0.23,0,?,?,1,?,5,4,2,0,4/5/5/0 %  ytyjr017c
C,20,0.4,0.27,0.49,0.2,0,0,0,0.34,0.26,0,0,0.29,0,0,0.17,0,0,1,?,?,1,4,4,5,0,2/13/0/0@40/16/0/0 %  ytyjr048w
C,21,0.4,0.09,0.3,0.2,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,?,1,1,5,5,5,0,13/11/3/1@8/99/0/0 %  ytyjr059w
C,20,0.4,0.32,0.3,0.31,0,0,0,0.31,0.13,0,0,0.22,0,0,0.17,0,0,1,?,1,?,5,4,4,0,4/1/1/0@40/10/0/0 %  ytyjr063w
C,20,0.4,0.14,0.3,0.2,0,0,0,0.25,0.13,0,0,0.44,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/5/4/0@14/4/3/1@14/4/3/3@3/3/1/0@3/3/3/0@40/4/0/0 %  ytyjr076c
C,21,0.4,0.1,0.3,0.52,0,0,0.17,0.31,0.13,0,0,0.59,0,0,0.34,0.5,0,1,1,1,?,5,5,2,0,1/5/1/0 %  ytyjr096w
C,20,0.4,0.12,0.3,0.2,0,0,0,0.24,0.13,0,0,0.49,0,0,0.17,0,0,1,?,1,1,5,4,5,0,40/4/0/0 %  ytyjr125c
C,20,0.49,0.35,0.3,0.4,0,-0.3,0,0.38,0.15,1.9,1,0.25,0,0,0.17,0,0,?,?,1,?,1,4,5,0,1/5/1/0@40/7/0/0@6/7/0/0 %  ytyjr143c
C,20,0.4,0.11,0.3,0.29,0,0,0,0.25,0.13,0,0,0.52,0,0,0.17,0,0,1,?,1,?,5,4,4,0,1/1/1/0@1/2/1/0 %  ytykl001c
C,20,0.4,0.19,0.3,0.2,0,0,0,0.26,0.13,0,0,0.36,0,0,0.17,0,0,1,?,1,1,5,4,5,0,40/25/0/0@6/4/0/0@8/13/0/0 %  ytykl002w
C,20,0.4,0.17,0.3,0.32,0,0,0,0.28,0.13,0,0,0.37,0,0,0.17,0,0,1,?,1,?,5,4,4,0,40/16/0/0@5/1/0/0 %  ytykl003c
C,20,0.72,0.42,0.29,0.81,0,0,0.08,0.56,0.13,0,0,0.12,0,0,0.17,0.47,0,?,?,?,?,5,4,2,0,1/6/1/0@30/4/0/0 %  ytykl004w
C,21,0.4,0.13,0.3,0.26,0,0,0,0.25,0.13,0,0,0.46,0,0,0.17,0,0,1,?,1,?,5,4,4,0,14/4/3/1@14/4/3/3@40/4/0/0 %  ytykl007w
C,20,0.4,0.17,0.3,0.2,0,0,0,0.26,0.13,0,0,0.37,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/3/16/0@4/5/5/0@5/1/0/0 %  ytykl009w
C,21,0.4,0.1,0.3,0.25,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,?,5,5,5,0,40/3/0/0@6/13/1/0 %  ytykl010c
C,20,0.4,0.1,0.3,0.26,0,0,0,0.24,0.13,0,0,0.54,0,0,0.17,0,0,1,?,1,?,5,4,5,0,1/6/7/0@40/3/0/0@6/7/0/0 %  ytykl019w
C,20,0.4,0.29,0.3,0.45,0,0,0,0.34,0.13,0,0,0.25,0,0,0.16,0,0,1,?,1,?,5,4,?,0,4/5/1/1@40/10/0/0 %  ytykl058w
C,20,0.4,0.14,0.3,0.3,0,0,0,0.25,0.13,0,0,0.42,0,0,0.17,0,0,1,?,1,1,5,4,5,0,40/16/0/0@67/4/7/0@8/4/0/0 %  ytykl120w
C,20,0.4,0.2,0.37,0.64,0,0,0.13,0.40,0.13,0,0,0.33,0,0,0.13,1,0,1,?,?,?,4,4,?,0,40/16/0/0@5/1/0/0 %  ytykl142w
C,20,0.51,0.15,0.36,0.2,0,0,0,0.32,0.13,0,0,0.37,0,0,0.17,0,0,?,?,?,1,5,4,5,0,1/5/1/0@2/10/0/0@40/16/0/0 %  ytykl148c
C,20,0.62,0.43,0.92,1.02,0,0.14,0.27,0.75,0.12,1.2,0,0.15,0,0,0.17,1.59,1,?,?,?,?,?,4,2,0,2/13/0/0@40/16/0/0 %  ytykl150w
C,20,8.38,7.69,4.91,9.57,0,-0.14,0.1,7.64,0.12,1.2,0,0.11,0,0,0.1,1,0,?,?,?,?,?,?,?,0,1/5/1/0@2/1/0/0@40/3/0/0 %  ytykl152c
C,20,1.28,0.88,1.3,9.38,0,0.01,0.49,3.21,0.12,0.1,0,0.25,0,0,0.32,1.53,1,?,?,?,?,?,4,2,0,11/1/0/0@40/1/0/0 %  ytykl163w
C,20,0.35,0.17,0.47,0.2,0,0,0,0.31,0.13,0,0,0.39,0,0,0.17,0,0,?,?,?,1,4,4,5,0,14/4/3/5 %  ytykl165c
C,20,0.4,0.11,0.3,0.2,0,0,0,0.24,0.13,0,0,0.5,0,0,0.17,0,0,1,?,1,1,5,4,5,0,4/1/4/0 %  ytykl172w
C,21,0.4,0.22,0.3,0.26,0,0,0,0.27,0.13,0,0,0.23,0,0,0.17,0,0,1,?,1,?,5,4,4,0,11/1/0/0@40/10/0/0@40/3/0/0@6/13/1/0@6/7/0/0 %  ytykl210w
C,20,0.4,0.35,0.37,0.46,0,0,0,0.38,0.13,0,0,0.14,0,0,0.17,0,0,1,?,?,?,5,4,4,0,1/1/1/0@40/3/0/0 %  ytykl211c
C,20,0.4,0.13,0.3,0.2,0,0,0,0.25,0.13,0,0,0.53,0,0,0.17,0,0,1,?,1,1,5,4,5,0,30/1/0/0 %  ytykr004c
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.56,0,0,0.17,0,0,1,?,1,1,5,4,5,0,6/13/0/0 %  ytykr038c
C,20,0.5,0.2,0.3,0.44,0,0,0,0.35,0.13,0,0,0.53,0,0,0.17,0,0,1,?,1,?,5,5,5,0,1/1/7/0@40/2/0/0@67/10/0/0@8/19/0/0 %  ytykr039w
C,21,0.36,0.65,0.57,0.8,0,0,-0.01,0.60,0.13,0,0,0.14,0,0,0.16,0.06,0,?,?,?,?,5,4,?,0,1/5/1/0@2/1/0/0 %  ytykr043c
C,20,0.4,0.09,0.3,0.2,0,0,0,0.24,0.13,0,0,0.56,0,0,0.17,0,0,1,?,1,1,5,4,5,0,4/3/6/0@40/10/0/0 %  ytykr056w
C,21,0.4,0.1,0.3,0.2,0,0,0,0.24,0.13,0,0,0.56,0,0,0.17,0,0,1,?,1,1,5,4,5,0,4/5/1/1@40/10/0/0 %  ytykr062w
C,20,0.4,0.1,0.3,0.28,0,0,0,0.25,0.13,0,0,0.55,0,0,0.17,0,0,1,1,1,?,5,5,4,0,67/99/0/0 %  ytykr067w
C,20,0.4,0.15,0.3,0.3,0,0,0,0.27,0.13,0,0,0.36,0,0,0.17,0,0,1,?,1,?,5,4,4,0,1/3/1/0@40/3/0/0 %  ytykr080w
C,20,0.47,0.25,0.4,1.25,0,0,0.27,0.59,0.21,0,0,0.39,0,0,0.26,1.04,1,?,?,?,?,5,4,?,0,11/1/0/0@40/3/0/0@6/99/0/0 %  ytyll026w
C,20,0.4,0.19,0.3,0.2,0,0,0,0.26,0.13,0,0,0.3,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/5/7/0@1/6/99/0@11/1/0/0@67/7/0/0@8/16/0/0@8/19/0/0 %  ytyll043w
C,20,0.4,0.16,0.3,0.2,0,0,0,0.25,0.13,0,0,0.39,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/6/13/0@40/25/0/0@67/50/25/0 %  ytyll048c
C,20,0.4,0.1,0.3,0.24,0,0,0,0.24,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,?,5,5,5,0,13/1/1/1 %  ytyll051c
C,20,0.4,0.25,0.3,0.31,0,0,0,0.29,0.13,0,0,0.21,0,0,0.17,0,0,1,?,1,?,5,4,5,0,67/1/1/0 %  ytyll053c
C,21,0.4,0.15,0.3,0.2,0,0,0,0.25,0.13,0,0,0.36,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/1/1/0 %  ytyll058w
C,20,0.4,0.14,0.3,0.2,0,0,0,0.25,0.13,0,0,0.39,0,0,0.17,0,0,1,?,1,1,5,4,5,0,3/1/5/1@4/5/1/1@5/4/0/0 %  ytylr005w
C,21,0.4,0.14,0.3,0.2,0,0,0,0.25,0.13,0,0,0.4,0,0,0.17,0,0,1,?,1,1,5,4,5,0,6/7/3/0 %  ytylr019w
C,20,0.53,0.6,0.3,1.24,0,0,0.26,0.66,0.13,0,0,0.15,0,0,0.21,1.24,1,?,?,1,?,5,4,?,0,13/1/1/1@40/25/0/0@40/8/0/0 %  ytylr034c
C,20,0.4,0.27,0.3,0.44,0,0,0,0.33,0.13,0,0,0.26,0,0,0.17,0,0,1,?,1,?,5,4,4,0,1/6/1/0 %  ytylr100w
C,20,0.4,0.1,0.3,0.42,0,0,0.08,0.28,0.13,0,0,0.56,0,0,0.17,0.47,0,1,1,1,?,5,5,2,0,6/13/1/0 %  ytylr121c
C,20,0.4,0.14,0.3,0.2,0,0,0,0.25,0.13,0,0,0.43,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/5/1/0@2/16/0/0@40/3/0/0 %  ytylr134w
C,20,0.4,0.22,0.3,0.2,0,0,0,0.27,0.13,0,0,0.25,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/20/17/3 %  ytylr146c
C,20,0.4,0.1,0.3,0.38,0,0,0,0.27,0.13,0,0,0.59,0,0,0.17,0,0,1,1,1,?,5,5,4,0,1/1/10/0@40/1/0/0 %  ytylr155c
C,20,0.4,0.15,0.3,0.45,0,0,0,0.30,0.13,0,0,0.42,0,0,0.17,0,0,1,?,1,?,5,4,?,0,1/1/10/0@40/1/0/0 %  ytylr160c
C,20,0.4,0.34,0.36,0.44,0,0,0.1,0.37,0.13,0,0,0.17,0,0,0.24,0.42,0,1,?,?,?,5,4,2,0,14/1/0/0@3/3/1/0@30/4/0/0@4/1/4/0@40/10/0/0 %  ytylr175w
C,21,0.4,0.11,0.3,0.2,0,0,0,0.24,0.13,0,0,0.51,0,0,0.17,0,0,1,?,1,1,5,4,5,0,1/6/7/0@40/3/0/0@6/7/0/0 %  ytylr195c
C,21,0.4,0.4,0.3,0.41,0,0,0,0.36,0.13,0,0,0.21,0,0,0.17,0,0,1,?,1,?,5,4,4,0,1/3/1/0 %  ytylr209c
C,21,0.4,0.21,0.3,0.34,0,0,0,0.29,0.13,0,0,0.48,0,0,0.17,0,0,1,?,1,?,5,4,4,0,40/9/0/0@8/7/0/0 %  ytylr268w
