@RELATION 'eisen0.names'

@ATTRIBUTE alpha_0 numeric
@ATTRIBUTE alpha_7 numeric
@ATTRIBUTE alpha_14 numeric
@ATTRIBUTE alpha_21 numeric
@ATTRIBUTE alpha_28 numeric
@ATTRIBUTE alpha_35 numeric
@ATTRIBUTE alpha_42 numeric
@ATTRIBUTE alpha_49 numeric
@ATTRIBUTE alpha_56 numeric
@ATTRIBUTE alpha_63 numeric
@ATTRIBUTE alpha_70 numeric
@ATTRIBUTE alpha_77 numeric
@ATTRIBUTE alpha_84 numeric
@ATTRIBUTE alpha_91 numeric
@ATTRIBUTE alpha_98 numeric
@ATTRIBUTE alpha_105 numeric
@ATTRIBUTE alpha_112 numeric
@ATTRIBUTE alpha_119 numeric
@ATTRIBUTE elu_0 numeric
@ATTRIBUTE elu_30 numeric
@ATTRIBUTE elu_60 numeric
@ATTRIBUTE elu_90 numeric
@ATTRIBUTE elu_120 numeric
@ATTRIBUTE elu_150 numeric
@ATTRIBUTE elu_180 numeric
@ATTRIBUTE elu_210 numeric
@ATTRIBUTE elu_240 numeric
@ATTRIBUTE elu_270 numeric
@ATTRIBUTE elu_300 numeric
@ATTRIBUTE elu_330 numeric
@ATTRIBUTE elu_360 numeric
@ATTRIBUTE elu_390 numeric
@ATTRIBUTE cdc15_10 numeric
@ATTRIBUTE cdc15_30 numeric
@ATTRIBUTE cdc15_50 numeric
@ATTRIBUTE cdc15_70 numeric
@ATTRIBUTE cdc15_90 numeric
@ATTRIBUTE cdc15_110 numeric
@ATTRIBUTE cdc15_130 numeric
@ATTRIBUTE cdc15_150 numeric
@ATTRIBUTE cdc15_170 numeric
@ATTRIBUTE cdc15_190 numeric
@ATTRIBUTE cdc15_210 numeric
@ATTRIBUTE cdc15_230 numeric
@ATTRIBUTE cdc15_250 numeric
@ATTRIBUTE cdc15_270 numeric
@ATTRIBUTE cdc15_290 numeric
@ATTRIBUTE spo_0 numeric
@ATTRIBUTE spo_2 numeric
@ATTRIBUTE spo_5 numeric
@ATTRIBUTE spo_7 numeric
@ATTRIBUTE spo_9 numeric
@ATTRIBUTE spo_11 numeric
@ATTRIBUTE spo5_2 numeric
@ATTRIBUTE spo5_7 numeric
@ATTRIBUTE spo5_11 numeric
@ATTRIBUTE spo__early numeric
@ATTRIBUTE spo__mid numeric
@ATTRIBUTE heat_0 numeric
@ATTRIBUTE heat_10 numeric
@ATTRIBUTE heat_20 numeric
@ATTRIBUTE heat_40 numeric
@ATTRIBUTE heat_80 numeric
@ATTRIBUTE heat_160 numeric
@ATTRIBUTE dtt_15 numeric
@ATTRIBUTE dtt_30 numeric
@ATTRIBUTE dtt_60 numeric
@ATTRIBUTE dtt_120 numeric
@ATTRIBUTE cold_0 numeric
@ATTRIBUTE cold_20 numeric
@ATTRIBUTE cold_40 numeric
@ATTRIBUTE cold_160 numeric
@ATTRIBUTE diau_540 numeric
@ATTRIBUTE diau_660 numeric
@ATTRIBUTE diau_780 numeric
@ATTRIBUTE diau_900 numeric
@ATTRIBUTE diau_1020 numeric
@ATTRIBUTE diau_1140 numeric
@ATTRIBUTE diau_1260 numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
-0.64,-0.07,0.64,0.68,0.52,0.32,-0.42,0.12,-0.09,-0.23,0.86,0.6,0.33,0.36,0.24,0.66,-0.01,0.07,-0.18,-0.36,-0.3,0.31,0.14,0.4,0.45,0.61,-0.09,-0.01,-0.18,-0.15,0.07,0.14,0.31,?,-0.04,-0.38,-0.74,-0.79,-0.43,0.57,-0.23,-1,-0.42,?,-1.15,-0.49,-0.47,0.21,0.74,0.29,0.07,-0.45,-0.62,0.33,-0.56,-1.03,1.87,1.42,-0.17,0.25,0.24,0.14,0.08,-0.12,-0.12,-0.32,0.07,-0.25,-0.32,0.38,-0.22,?,0.04,0.41,0.16,-0.32,-0.47,0.29,0.61,4/5/1/4 %  ytydl197c
-0.32,0.49,0.61,1.43,0.58,0.3,-0.45,-0.42,-0.06,0.06,0.34,0.58,0.36,-0.1,-0.32,-0.14,-0.42,-0.43,-0.58,-0.3,0.14,0.32,0.48,0.59,0.26,0.18,-0.03,0.14,0.07,-0.14,-0.09,0.15,-0.06,0.79,0.7,-0.76,-1.6,-1.47,0.44,0.8,0.37,-0.84,-1.4,-0.76,0.34,0.04,-0.14,-0.1,0.97,0.86,0.49,-0.25,-0.4,0.36,-0.54,-0.76,1.89,1,0.28,0.08,0.2,0.55,0.15,0.38,0.14,0.19,-0.15,-0.1,0.18,0.21,-0.12,0.19,0.03,-0.2,-0.07,-0.49,-0.79,0.15,-0.58,4/5/1/4 %  ytyjl115w
-0.07,-0.3,-0.17,-0.18,0.08,-0.27,0.01,-0.17,-0.09,-0.07,-0.07,-0.14,-0.07,-0.22,0.06,-0.01,0.15,-0.38,0.15,-0.04,-0.36,-0.14,-0.09,-0.23,-0.23,-0.14,0.04,-0.1,-0.25,-0.04,0.12,-0.14,0.07,-0.07,0.16,-0.14,0.19,-0.04,?,-0.07,-0.2,-0.1,-0.12,-0.47,0.34,-0.14,-0.06,-0.34,0.41,0.37,0.36,0.1,0.03,-0.34,-0.36,-0.49,1.1,0.9,0.14,-0.14,-0.04,0.91,-0.14,0.08,-0.23,-0.18,-0.15,-0.27,0.08,0.01,-0.04,-0.94,-0.12,-0.22,-0.07,-0.36,-0.18,0.01,0.03,3/1/5/0@4/5/1/4@40/10/0/0 %  ytygl025c
0.06,-0.42,-0.07,-0.42,0.12,-0.42,0.06,-0.2,0.03,-0.07,0.07,-0.06,0.04,-0.56,-0.04,-0.27,?,-0.32,-0.17,-0.34,-0.47,-0.6,-0.49,-0.45,-0.43,-0.22,-0.09,-0.3,-0.47,-0.01,-0.03,-0.15,-0.07,0.37,0.32,-0.27,-0.27,-0.17,-0.14,-0.09,0.12,-0.32,-0.27,0.37,-0.14,-0.17,-0.47,-0.3,0.58,0.58,0.45,0.14,0.04,0.39,-0.51,-0.58,1.11,0.96,-0.17,-0.74,-0.58,-0.2,-0.34,-0.6,-0.38,-0.2,-0.58,-0.47,0.36,-0.15,-0.3,-1.09,-0.06,0.1,0.41,-0.07,0.16,0.54,0.32,4/1/1/0@4/3/1/0@40/10/0/0 %  ytygr246c
-0.17,-0.3,0.23,-0.43,0.26,0.23,0.03,0.04,0.07,-0.12,1.04,-0.4,-0.17,-0.27,0.28,-0.07,0.08,-0.04,-0.51,-0.54,-0.54,-0.54,-0.1,-0.97,-0.71,-0.45,-0.51,-0.45,-0.69,-0.45,-0.62,-0.49,-0.2,-0.14,-0.23,-0.2,-0.94,-0.07,-0.25,1.19,-0.06,-0.74,-0.69,-0.42,-0.74,-0.69,-1.06,-0.49,0.58,1.01,1.04,0.58,0.23,0.06,-1.47,-0.25,1.26,1.64,-0.25,-0.03,-0.89,-0.54,-0.15,-0.18,0.01,-0.4,-0.51,-0.49,-0.1,0.06,-0.36,-0.07,-0.56,-0.2,0.25,0.1,0.03,0.64,0.64,40/22/0/0@40/25/0/0@6/4/0/0@8/13/0/0 %  ytydr323c
-0.3,-0.69,-0.18,-0.62,-0.15,-0.34,-0.03,-0.42,-0.17,-0.42,-0.22,-0.36,-0.3,-0.42,-0.18,-0.43,-0.29,0.31,-0.2,-0.69,-0.74,-0.32,-0.18,-0.18,-0.42,0.03,0.01,0.06,-0.23,0.01,-0.07,-0.17,-0.47,-0.34,-0.22,0.16,0.07,?,?,-0.01,0.1,0.14,-0.06,-0.62,0.12,-0.07,0.03,-0.49,0.61,?,1.05,0.86,0.59,-0.45,-0.56,-1.36,1.53,1.79,0.07,-0.03,-0.2,0.1,-0.45,-0.81,0.24,-0.06,-0.2,-0.42,-0.67,-0.47,-0.45,-0.64,-0.25,-0.14,-0.51,-0.56,-0.62,-0.79,-0.43,6/10/0/0@8/19/0/0 %  ytypr029c
-1.03,-0.3,0.88,1.1,0.96,?,-0.15,-0.49,-0.62,-0.79,0.45,0.96,0.81,0.24,0.29,-0.01,-1.06,-0.6,-1.47,-1,-0.74,-0.18,0.12,0.48,0.34,0.14,-0.07,0.28,-0.12,-0.56,-0.74,-0.42,-1.06,1.02,0.81,-0.79,-1.36,-1.43,0.67,1.1,0.7,-0.22,-0.62,-0.15,0.07,-0.09,-0.07,-0.18,0.78,0.51,0.03,?,0.03,0.04,-0.51,-0.45,1.01,0.08,-0.18,-0.81,-0.71,0.42,0.14,-0.58,-0.71,-0.79,-0.71,-0.67,0.23,0.51,-0.92,0.01,0.12,-0.01,-0.04,-0.45,-0.69,-1.43,-1.64,1/3/7/0@3/1/3/0@3/1/5/1@40/3/0/0 %  ytyil066c
-0.2,-0.18,0.26,-0.04,0.2,-0.27,-0.23,-0.12,0.34,-0.01,0.87,-0.15,0.06,-0.06,0.39,0.16,-0.45,-0.29,-0.81,-0.56,-0.49,-0.1,-0.1,-0.14,-0.38,0.12,-0.18,-0.06,-0.09,0.1,-0.3,-0.2,-0.49,-0.43,-0.27,0.15,-0.07,-0.12,-0.18,-0.15,-0.18,-0.17,-0.23,-0.17,?,-0.15,-0.04,-0.09,1.04,0.56,0.52,0.26,0.41,0.37,-0.3,-0.49,0.91,0.62,-0.1,-0.27,-0.01,-0.3,-0.07,-0.34,-0.04,-0.64,-0.32,-0.27,-0.03,-0.14,-0.32,-0.23,0.33,0.24,0.2,-0.36,-0.56,-0.58,-0.89,1/1/1/0@40/3/0/0 %  ytykl211c
0.84,-0.51,0.49,0.58,0.87,0.24,-0.18,-0.64,-0.43,-0.49,0.03,0.32,0.43,0.08,0.04,-0.56,-0.32,-0.71,-1.32,-0.97,-0.74,-0.17,0.28,0.41,0.23,-0.49,-0.06,-0.06,-0.06,-0.32,-0.74,-0.3,-0.29,0.28,0.88,-0.23,-0.79,-0.84,0.24,0.53,0.33,-0.67,-1,-1.51,-0.18,-0.27,-0.56,-0.4,0.61,1.1,?,0.3,-0.07,-0.54,-0.49,-0.76,1.62,1.1,-0.97,-0.74,-0.51,-0.23,-0.15,0.52,-0.14,0.04,-0.86,-0.71,-0.64,-0.36,-0.64,-0.42,-0.09,-0.17,-0.07,-0.25,-0.17,-0.36,-0.42,3/1/3/0@3/1/5/1@3/3/1/3@40/10/0/0 %  ytynl262w
-0.17,-0.67,-0.03,0.36,0.36,-0.22,-0.04,-0.47,-0.51,-0.3,-0.29,-0.15,0.14,-0.36,-0.29,-0.27,-0.29,-0.17,-0.71,-0.97,-0.54,-0.62,-0.14,-0.09,-0.09,-0.18,0.03,-0.03,-0.2,-0.38,-0.54,-0.54,-0.2,0.28,0.69,-0.01,-0.25,-0.45,-0.64,1.01,0.16,-0.43,-0.07,-0.4,-1.15,-0.49,-0.43,-0.64,0.49,0.7,0.96,0.42,-0.07,-0.25,-0.49,-1.32,1.13,1.57,0.15,-0.79,-0.1,-0.22,-0.62,-0.32,-0.86,-0.38,-0.43,-0.62,?,0.54,-0.01,0.3,-0.22,-0.36,-0.15,-0.36,-0.34,-0.62,-1,3/1/5/1@40/10/0/0@40/16/0/0 %  ytyml061c
-1.43,-0.6,0.28,0.79,0.88,0.28,0.01,-1.03,-0.97,-0.4,-0.67,0.45,0.44,-0.2,-0.56,-0.51,-0.92,-1.09,-2,-1.15,-0.27,-0.67,0.03,0.24,-0.03,0.6,0.18,0.19,0.43,-0.1,-0.79,-0.03,-0.27,0.42,0.18,-0.06,-0.81,0.08,-0.54,2.25,0.18,-1.25,-0.64,-0.79,-1.22,-0.34,-0.3,-0.03,1.23,0.81,1.14,0.59,0.23,?,-0.12,-0.97,2.53,1.49,-0.14,-0.29,-0.45,-0.29,-0.32,-0.4,-0.09,-0.34,-0.09,-0.34,-0.58,0.6,-1.06,-1.22,-0.07,-0.23,0.03,-0.12,-0.38,0.55,-0.62,1/3/7/0@40/10/0/0 %  ytyor074c
-1.22,-0.51,1.32,1.74,0.99,0.71,-0.45,-0.43,-0.79,-0.3,0.59,1.49,0.97,0.44,0.24,0.36,-0.29,-0.47,-2,-1.64,0.36,0.07,0.42,1,0.83,0.75,0.32,0.86,0.21,-0.42,-0.84,0.21,-0.43,-0.38,-0.56,-0.17,-0.89,0.11,-0.79,2.16,0.21,-1,-0.34,0.74,?,0.45,-0.51,0.11,1.95,1.51,0.99,0.07,0.08,0.55,-1.22,-2.18,3.61,1.75,-0.29,-1.32,-0.92,0.37,0.08,-0.34,-0.62,-0.84,-0.67,-0.6,-0.51,-0.84,-1.15,-1.12,0.21,0.12,0.24,-0.25,-0.71,-1.64,-1.4,1/3/7/0@3/1/3/0 %  ytyer070w
-0.76,0.84,0.31,0.79,-0.58,0.24,-0.01,-0.25,-0.6,-0.4,-0.04,0.1,0.1,-0.07,0.01,0.1,-0.2,-0.18,-0.92,-0.81,-0.54,-0.18,0.08,0.15,0.24,0.21,-0.17,0.14,-0.06,-0.3,-0.74,-0.58,-0.84,-0.27,0.58,-0.25,-0.71,-1.22,-0.84,0.07,0.28,-0.69,-0.74,-0.97,-0.51,-0.71,-0.71,-0.36,1.01,1.1,0.74,?,0.04,-0.12,-0.64,-0.81,1.7,1.54,0.11,-0.6,-0.25,0.39,0.01,0.1,-0.51,-0.4,-0.4,-0.74,-0.2,0.36,-0.23,-0.14,0.15,0.29,0.43,0.07,0.01,0.07,-0.25,3/1/5/0 %  ytylr383w
-0.51,?,0.93,0.43,0.53,0.14,?,0.08,-0.18,-0.23,0.4,0.41,0.28,-0.4,-0.14,0.03,-0.49,-0.58,-1.56,-0.97,-0.6,-0.2,-0.04,0.18,0.3,0.07,-0.32,-0.36,-0.36,-0.81,-0.42,-0.25,-0.58,0.6,0.53,-0.51,-0.71,-0.67,-0.34,0.49,0.01,-0.89,-0.94,-0.45,-0.23,-0.38,-0.47,-0.51,1.79,?,1.14,1.04,0.65,0.03,-0.49,-1.4,2.07,1.85,?,-0.2,-0.23,0.08,0.01,0.24,-0.56,-0.42,-0.49,-0.4,0.12,0.86,0.16,0.19,0.04,-0.23,0.06,-0.07,-0.25,0.08,0.48,14/4/3/1@40/3/0/0 %  ytylr313c
-0.94,-0.64,-0.04,0.51,0.38,-0.12,-0.2,-0.25,-0.45,-0.74,0.23,0.59,0.58,0.2,0.29,0.14,-1.94,-0.49,-0.62,-0.51,-0.4,-0.23,0.04,0.36,0.37,0.24,-0.12,-0.06,0.04,0.03,-0.42,-0.25,-0.15,0.42,0.78,-0.29,-0.6,-0.36,-0.18,0.06,0.19,-1,-0.45,-0.58,-0.64,-0.3,-0.56,-0.1,1.4,1.2,0.59,0.31,0.34,0.31,-0.4,-0.49,2.42,1.55,-0.32,-0.36,0.03,0.23,-0.1,0.21,-0.79,-0.51,-0.47,-0.69,-0.49,-0.09,0.21,0.11,0.19,-0.03,0.25,-0.06,-0.43,-0.2,-0.4,3/3/1/3 %  ytyjl187c
-1.47,-1.18,0.89,1.29,0.8,-0.17,-0.76,0.48,-1.56,-0.94,0.3,0.97,0.76,-0.06,-0.29,-0.84,-1.12,-1.22,-2.12,-2.18,-1.32,-0.49,0.2,0.1,0.28,-0.06,-0.3,-0.49,-0.49,-0.97,-1.25,-1.06,-0.29,0.96,-0.43,-0.6,-1.94,-2.4,0.7,1.73,0.96,-0.69,-1.25,-0.67,0.19,-0.01,0.08,-0.17,2.57,2.2,1.58,0.49,0.14,1.15,-0.86,-1.74,3.24,1.7,-0.71,-0.76,-1.36,-0.97,-1.12,-1.47,-0.18,-0.22,-0.89,-0.92,0.53,-0.03,-1.12,-1.29,0.41,0.14,-0.06,-0.58,-0.34,-0.69,-1.47,3/1/3/0@3/1/5/0@40/10/0/0 %  ytybr088c
-0.06,-0.56,-0.12,-0.01,0.11,0.01,0.01,-0.27,-0.12,-0.3,-0.14,-0.17,-0.12,-0.38,-0.2,-0.38,-0.03,-0.29,-0.27,-0.45,-0.32,-0.54,-0.29,-0.18,-0.3,-0.42,-0.22,-0.32,-0.38,-0.23,-0.15,-0.43,0.01,0.06,0.3,-0.01,-0.17,0.12,0.1,0.79,0.04,-0.17,-0.17,-0.45,-0.14,-0.2,-0.4,-0.27,0.7,0.81,0.58,0.06,-0.36,-0.25,-0.62,-0.84,0.8,1.57,-0.45,-0.2,0.2,0.06,-0.09,-0.27,-0.36,-0.42,-0.38,-0.2,-0.18,0.1,-0.32,-0.18,-0.18,?,0.06,-0.34,-0.14,0.1,-0.1,3/1/5/1@3/3/1/0@3/3/2/0@30/1/0/0@40/10/0/0 %  ytymr224c
-0.1,-0.09,-0.25,-0.06,-0.14,-0.1,0.04,0.06,0.19,0.07,0.03,-0.04,-0.09,-0.15,-0.03,-0.07,-0.23,0.06,-0.43,-0.23,-0.27,-0.07,0.06,?,-0.38,-0.42,-0.42,-0.2,-0.36,-0.42,-0.12,-0.3,-0.25,-0.22,-0.12,0.06,-0.1,-0.18,-0.36,-0.36,-0.56,-0.42,-0.43,-0.67,-0.12,-0.14,-0.27,-0.3,0.52,1.01,0.34,-0.15,-0.32,-0.64,-0.69,-1.69,0.9,1.29,-0.27,0.04,-0.04,-0.03,-0.18,0.04,-0.6,-0.38,-0.58,-0.42,0.12,0.42,-0.29,-0.06,-0.18,0.12,0.3,-0.18,-0.23,0.2,-0.17,3/1/5/1@3/3/2/0@40/10/0/0 %  ytynl250w
-1.12,-1.18,-0.4,-0.25,-0.51,-0.47,-0.18,-0.38,-0.03,-0.1,-0.49,-0.34,-0.17,-0.47,-0.74,-0.43,-0.27,-0.4,-1.03,-0.86,-0.14,-0.14,-0.09,-0.15,?,0.24,-0.09,0.1,0.25,0.01,-0.92,0.01,-0.07,0.28,0.44,0.14,0.04,-0.07,0.07,0.36,0.8,0.14,-0.15,0.21,-0.01,-0.14,-0.23,-0.32,1.6,1.32,1.59,0.53,0.79,-0.09,-0.06,-0.97,1.78,0.98,-0.22,-0.23,-0.32,-0.17,0.03,-0.29,-0.36,-0.42,-0.3,-0.64,-0.4,0.18,-1.03,-0.89,-0.06,-0.3,0.21,-0.18,-0.56,0.72,0.11,3/3/1/3 %  ytyor026w
-0.4,-0.06,0.28,0.25,0.54,0.3,-0.03,0.37,0.34,-0.3,0.49,-0.07,1.47,0.15,0.45,0.57,-0.3,-0.36,-0.15,-0.79,?,0.12,-0.14,-0.23,-0.34,0.03,-0.27,-0.14,-0.03,-0.32,-0.42,-0.29,-0.62,-0.56,0.04,0.1,-0.15,-0.36,-0.6,-0.12,0.15,-0.04,-0.17,-0.25,-0.49,-0.45,-0.25,-0.03,0.82,0.8,0.44,0.23,0.18,0.08,-0.29,-0.89,1.26,1.48,-0.03,-0.04,-0.09,0.07,-0.14,-0.09,-0.18,-0.32,0.01,-0.1,-0.22,0.03,-0.23,-0.09,0.08,0.19,0.29,-0.42,-0.42,-0.09,-0.23,1/5/1/0@6/7/0/0 %  ytygl065c
?,-0.12,-0.32,?,0.62,0.36,-0.15,-0.3,-0.17,0.14,-0.15,?,0.32,?,0.04,0.12,-0.15,-0.25,-0.27,-0.69,-0.03,0.01,0.03,0.3,0.29,0.54,0.21,-0.06,-0.09,0.06,-0.97,-0.29,-0.38,-0.25,-0.3,0.24,-0.45,-0.71,-0.74,0.5,0.01,-1.36,-1.43,0.44,-0.74,-0.71,-1.64,-0.49,0.53,?,1.52,0.24,1.99,-0.71,0.01,-0.89,2.86,2.46,0.03,-0.15,-0.03,-0.14,-0.12,0.03,-0.36,-0.64,-0.86,-0.4,-0.14,0.3,-0.38,-0.42,-0.03,-0.3,0.42,0.2,-0.18,-0.54,-0.45,3/3/1/0@40/5/0/0 %  ytyhr172w
-0.15,-0.1,0.2,0.1,-0.23,-0.01,-0.4,0.23,0.43,0.01,0.98,0.36,-0.09,-0.12,0.04,0.31,-0.27,0.15,-0.43,-0.23,-0.27,0.15,0.15,0.06,0.16,0.08,0.07,0.25,?,0.25,0.19,-0.01,-0.03,-0.15,-1.29,-0.89,-0.47,0.06,-0.14,-0.4,-0.23,-0.58,-0.34,-0.01,-0.34,-0.69,-0.6,-0.3,1.7,1.44,0.95,0.34,0.46,-0.22,-0.56,-1.12,2.17,1.58,0.04,-0.03,-0.22,0.99,-0.14,0.32,-0.27,-0.27,-0.43,-0.69,-0.25,-0.45,-0.03,0.07,0.07,0.31,-0.04,-0.22,-0.43,-1.09,-0.42,3/1/3/0@40/10/0/0 %  ytygl201c
-0.6,-0.42,0.11,0.56,-0.1,?,-0.47,-0.36,0.08,0.1,0.77,0.42,0.18,?,-0.29,0.18,-0.38,-0.14,-1.47,-0.34,0.14,0.14,0.25,0.56,0.43,0.32,0.21,0.37,0.28,-0.06,-0.09,0.25,-0.18,0.51,0.32,-0.62,-0.92,-0.47,0.3,0.16,0.71,-0.3,-0.79,0.46,-0.42,-1.09,-0.71,0.01,0.46,0.25,0.19,0.12,0.1,-0.09,-0.42,-0.71,1.43,1.29,-0.18,-0.42,-0.14,0.37,-0.04,-1.03,-0.38,-0.6,-0.01,-0.38,-0.42,0.33,-0.01,-0.6,-0.04,0.74,-0.1,-0.25,-0.45,-0.58,-0.6,3/1/3/0@3/1/5/1@40/10/0/0 %  ytydl102w
-0.22,-0.62,-0.14,?,0.29,-0.06,0.43,-0.03,-0.07,-0.49,-0.15,-0.18,0.08,-0.29,0.31,-0.12,0.25,-0.34,-0.15,-0.07,-0.2,-0.42,-0.12,-0.03,0.15,0.16,?,-0.12,0.14,0.01,-0.25,-0.14,-0.74,-0.71,-0.32,0.11,0.2,-0.27,0.06,0.2,0.1,0.1,-0.03,-0.49,-0.2,-0.22,-0.17,-0.43,0.38,0.42,0.29,-0.07,-0.29,-0.1,-0.49,-0.84,1.09,1.11,?,-0.47,-0.51,-0.51,-0.18,-0.22,0.16,-0.54,0.06,-0.07,0.11,-0.64,-0.36,-0.22,0.32,0.4,0.64,0.31,0.34,-0.32,-0.97,1/5/1/0@40/7/0/0@6/7/0/0 %  ytyjl002c
-0.67,-1.12,-0.79,-0.4,0.01,-0.1,0.49,?,0.14,-0.27,-0.25,-0.38,-0.1,-0.34,0.1,0.11,0.07,-0.15,-1.69,-1.36,-1.32,-0.94,-0.4,-0.25,0.11,0.51,0.77,0.68,?,0.5,0.11,-0.32,-0.69,-0.97,-0.27,0.45,0.57,-0.36,-0.81,-0.27,0.08,0.44,0.41,-0.18,-0.6,-0.45,-0.43,?,0.9,1.89,1.97,1.18,0.77,-0.62,0.29,-1.09,1.88,1.87,-0.22,0.11,-0.36,?,0.49,-0.92,-0.03,-0.74,0.4,0.04,0.26,-0.1,-0.62,-1.29,0.3,0.55,0.54,-0.29,-0.25,-0.67,-1.25,3/3/1/0@3/3/2/0@40/4/0/0 %  ytyfl037w
-0.71,0.01,-0.06,-0.04,-0.74,-0.51,-0.81,-0.29,-0.34,0.01,-0.03,-0.15,-0.29,-0.45,-0.45,-0.06,-0.2,-0.17,0.45,0.15,0.25,0.2,-0.22,0.06,0.18,-0.14,-0.09,-0.15,0.03,-0.22,-0.22,0.03,0.46,0.32,0.08,-0.34,-0.22,-0.01,-0.27,0.23,0.95,-0.22,-0.18,0.37,-0.09,-0.15,-0.2,0.08,?,0.63,0.4,0.33,0.49,0.37,-0.74,-0.54,1.42,1.14,?,-0.01,-0.04,0.06,-0.1,?,-0.01,-0.01,-0.1,-0.2,-0.47,0.36,-0.15,0.56,-0.36,-0.12,0.38,-0.29,-0.51,0.66,0.06,14/4/3/3@3/1/5/1@3/3/2/0@40/10/0/0 %  ytydr004w
